State,turnout rate,
United States,66.7,in %
Minnesota,79.9,in %
Colorado,76.4,in %
Maine,76.3,in %
Wisconsin,75.8,in %
Washington,75.7,in %
New Hampshire,75.5,in %
Oregon,75.5,in %
Vermont,74.2,in %
Michigan,73.9,in %
Iowa,73.2,in %
Montana,73.1,in %
Virginia,73,in %
Massachusetts,72.1,in %
Florida,71.7,in %
North Carolina,71.5,in %
Connecticut,71.1,in %
Pennsylvania,71,in %
Delaware,70.7,in %
New Jersey,70.6,in %
Utah,69.2,in %
Maryland,69,in %
Alaska,68.6,in %
Ohio,68.6,in %
Nebraska,68.6,in %
California,68.2,in %
Georgia,67.7,in %
Idaho,67.7,in %
Illinois,67.6,in %
Missouri,66.3,in %
South Dakota,66,in %
Arizona,65.9,in %
Rhode Island,65.7,in %
Nevada,65.4,in %
New York,65.3,in %
Kentucky,64.9,in %
Louisiana,64.6,in %
Wyoming,64.6,in %
South Carolina,64.5,in %
North Dakota,64.5,in %
Kansas,64.2,in %
District of Columbia,64.1,in %
Alabama,63.1,in %
Indiana,61.4,in %
New Mexico,61.3,in %
Mississippi,60.4,in %
Texas,60.2,in %
Tennessee,59.7,in %
Hawaii,57.5,in %
West Virginia,57,in %
Arkansas,56,in %
Oklahoma,55,in %
